index,label,cluster,is_critical
439,ENP2,2,0
440,ENT1,2,0
441,ENT3,2,0
442,ENT5,2,0
443,EPL1,2,0
444,EPO1,1,1
445,ERB1,2,0
446,ERV1,2,0
447,ESA1,2,0
448,ESC1,2,0
449,ESP1,2,0
450,ESS1,2,0
451,EST1,2,0
452,EST2,2,0
453,EST3,2,0
454,EXO1,2,0
455,EXO70,2,0
456,EXO84,2,0
457,FAF1,2,0
458,FAP7,2,0
459,FAR1,1,1
460,FAS1,1,1
461,FCP1,2,0
462,FES1,1,1
463,FHL1,2,0
464,FIN1,2,0
465,FIP1,2,0
466,FIR1,2,0
467,FIS1,2,0
468,FKH1,2,0
469,FKH2,2,0
470,FLX1,2,0
471,FMP10,2,0
472,FOB1,2,0
473,FPK1,2,0
474,FPR4,2,0
475,FPS1,1,1
476,FRA2,2,0
477,FRQ1,2,0
478,FUN12,2,0
479,FUN30,2,0
480,FUS1,2,0
481,FUS2,2,0
482,FUS3,2,0
483,FZO1,2,0
484,GAC1,2,0
485,GAL1,2,0
486,GAL11,2,0
487,GAL3,2,0
488,GAL4,2,0
489,GAL80,1,1
490,GAL83,2,0
491,GAR1,2,0
492,GBP2,2,0
493,GCD1,2,0
494,GCD11,1,1
495,GCD2,2,0
496,GCD6,2,0
497,GCD7,2,0
498,GCN3,2,0
499,GCN4,2,0
500,GCN5,1,1
501,GDI1,2,0
502,GET1,2,0
503,GET2,2,0
504,GET3,2,0
505,GET4,2,0
506,GFD1,2,0
507,GGA2,2,0
508,GIC1,2,0
509,GIC2,2,0
510,GIM3,2,0
511,GIM4,2,0
512,GIM5,2,0
513,GIN4,2,0
514,GIP1,1,1
515,GIP2,2,0
516,GIP3,2,0
517,GIS2,2,0
518,GLC7,2,0
519,GLC8,2,0
520,GLE1,2,0
521,GLE2,2,0
522,GLG2,2,0
523,GLN3,2,0
524,GON7,2,0
525,GOS1,1,1
526,GPA1,1,1
527,GPI14,1,1
528,GPN2,1,1
529,GRH1,1,1
530,GRR1,1,1
531,GRX3,2,0
532,GRX4,2,0
533,GRX5,2,0
534,GSP1,2,0
535,GSY2,2,0
536,GTR1,2,0
537,GTR2,2,0
538,GYL1,2,0
539,GYP5,2,0
540,HAS1,2,0
541,HAT1,2,0
542,HAT2,2,0
543,HCA4,2,0
544,HCH1,2,0
545,HCR1,2,0
546,HDA1,2,0
547,HDA2,2,0
548,HDA3,2,0
549,HED1,2,0
550,HEK2,2,0
551,HEM15,2,0
552,HER1,2,0
553,HFI1,2,0
554,HFM1,2,0
555,HGH1,2,0
556,HHF1,1,1
557,HHF2,2,0
558,HHO1,2,0
559,HHT1,2,0
560,HHT2,2,0
561,HIF1,2,0
562,HIR1,1,1
563,HIR2,1,1
564,HIR3,2,0
565,HIT1,1,1
566,HMG2,2,0
567,HMO1,2,0
568,HMT1,2,0
569,HOF1,1,1
570,HOG1,2,0
571,HOP1,2,0
572,HOS1,2,0
573,HOT1,2,0
574,HPR1,2,0
575,HRB1,2,0
576,HRD1,2,0
577,HRD3,2,0
578,HRP1,2,0
579,HRR25,2,0
580,HRT1,2,0
581,HRT3,2,0
582,HSC82,2,0
583,HSE1,2,0
584,HSF1,1,1
585,HSH155,2,0
586,HSH49,2,0
587,HSK3,2,0
588,HSL1,1,1
589,HSL7,2,0
590,HSM3,2,0
591,HSP10,2,0
592,HSP104,2,0
593,HSP60,2,0
594,HSP82,1,1
595,HST4,2,0
596,HTA1,2,0
597,HTA2,2,0
598,HTB1,2,0
599,HTB2,2,0
600,HTL1,2,0
601,HTZ1,1,1
602,HUB1,1,1
603,HXK2,1,1
604,IDS2,2,0
605,IES1,2,0
606,IES2,1,1
607,IES3,2,0
608,IES4,2,0
609,IES5,2,0
610,IES6,2,0
611,IFH1,2,0
612,IFM1,2,0
613,IGO1,2,0
614,IKI1,2,0
615,IKI3,2,0
616,IME1,2,0
617,IMG1,2,0
618,IML1,2,0
619,IML3,1,1
620,IMP3,2,0
621,IMP4,2,0
622,INA22,2,0
623,INN1,2,0
624,INO2,2,0
625,INO4,2,0
626,INO80,2,0
627,INP1,2,0
628,INP2,2,0
629,INP52,2,0
630,IOC2,2,0
631,IOC3,2,0
632,IOC4,2,0
633,IPI1,2,0
634,IPI3,2,0
635,IPL1,2,0
636,IQG1,1,1
637,IRE1,2,0
638,IRR1,2,0
639,ISA2,2,0
640,ISM1,2,0
641,IST1,2,0
642,ISW1,2,0
643,ISW2,2,0
644,ISY1,2,0
645,ITC1,2,0
646,IWR1,2,0
647,JNM1,2,0
648,KAE1,2,0
649,KAP104,2,0
650,KAP114,2,0
651,KAP120,2,0
652,KAP123,2,0
653,KAP95,2,0
654,KAR1,2,0
655,KAR2,2,0
656,KAR3,2,0
657,KAR9,1,1
658,KCC4,2,0
659,KDX1,2,0
660,KEL1,2,0
661,KEL2,1,1
662,KIN2,2,0
663,KIN28,2,0
664,KIN4,2,0
665,KIP2,2,0
666,KIP3,2,0
667,KOG1,2,0
668,KRE28,2,0
669,KRE29,1,1
670,KRE33,2,0
671,KRI1,1,1
672,KRR1,2,0
673,KSS1,2,0
674,KTI11,1,1
675,KTI12,2,0
676,LAG2,2,0
677,LAS17,2,0
678,LCD1,2,0
679,LDB18,2,0
680,LDB19,2,0
681,LEA1,1,1
682,LEO1,2,0
683,LGE1,2,0
684,LHS1,2,0
685,LIF1,1,1
686,LIN1,2,0
687,LOC1,2,0
688,LOS1,2,0
689,LRE1,2,0
690,LRG1,1,1
691,LRP1,2,0
692,LRS4,2,0
693,LSB1,2,0
694,LSB3,2,0
695,LSB5,2,0
696,LSG1,1,1
697,LSM1,2,0
698,LSM12,2,0
699,LSM2,2,0
700,LSM3,2,0
701,LSM4,2,0
702,LSM5,2,0
703,LSM6,2,0
704,LSM7,1,1
705,LSM8,2,0
706,LST8,2,0
707,LTE1,2,0
708,LTV1,2,0
709,LUC7,2,0
710,MAC1,2,0
711,MAD1,2,0
712,MAD2,2,0
713,MAD3,2,0
714,MAF1,2,0
