index,label,cluster,is_critical
161,3269,2,0
162,3273,2,0
163,3275,2,0
164,3304,2,0
165,3305,2,0
166,3308,2,0
167,3316,2,0
168,3320,2,0
169,3321,2,0
170,3322,2,0
171,3330,2,0
172,3336,2,0
173,3339,2,0
174,3341,2,0
175,3347,2,0
176,3351,2,0
177,3361,2,0
178,3364,2,0
179,3366,2,0
180,3368,2,0
181,3369,2,0
182,3370,2,0
183,3371,2,0
184,3372,2,0
185,3373,2,0
186,3374,2,0
187,3375,2,0
188,3376,2,0
189,3378,2,0
190,3379,2,0
191,3381,2,0
192,3382,2,0
193,3383,2,0
194,3384,2,0
195,3385,2,0
196,3386,2,0
197,3387,2,0
198,3388,2,0
199,3389,2,0
200,3390,2,0
201,3391,2,0
202,3392,2,0
203,3393,2,0
204,3394,2,0
205,3395,2,0
206,3397,2,0
207,3398,2,0
208,3399,2,0
209,340,2,0
210,3400,2,0
211,3404,2,0
212,3406,2,0
213,3410,2,0
214,342,2,0
215,344,2,0
216,3448,2,0
217,345,2,0
218,3456,2,0
219,3458,2,0
220,346,2,0
221,3462,2,0
222,3467,2,0
223,3469,2,0
224,3473,2,0
225,348,2,0
226,3484,2,0
227,3486,2,0
228,3488,2,0
229,349,2,0
230,3494,2,0
231,350,2,0
232,351,2,0
233,3514,2,0
234,3520,2,0
235,3533,2,0
236,3536,2,0
237,3550,2,0
238,3559,2,0
239,3564,2,0
240,3566,2,0
241,3570,2,0
242,3576,2,0
243,3577,2,0
244,3578,2,0
245,3580,2,0
246,3585,2,0
247,3602,2,0
248,3608,2,0
249,3611,2,0
250,3613,2,0
251,3621,2,0
252,3626,2,0
253,3627,2,0
254,3636,2,0
255,3645,2,0
256,3646,2,0
257,3660,2,0
258,3670,2,0
259,3673,2,0
260,3676,2,0
261,3678,2,0
262,3682,2,0
263,3690,2,0
264,3697,2,0
265,3712,2,0
266,3714,2,0
267,3717,2,0
268,3720,2,0
269,3722,2,0
270,3728,2,0
271,3731,2,0
272,3747,2,0
273,3748,2,0
274,3751,2,0
275,3752,2,0
276,3759,2,0
277,3793,2,0
278,3797,2,0
279,3806,2,0
280,3807,2,0
281,3811,2,0
282,3817,2,0
283,3825,2,0
284,3830,2,0
285,3839,2,0
286,3849,2,0
287,3858,2,0
288,3861,2,0
289,3863,2,0
290,3864,2,0
291,3875,2,0
292,3876,2,0
293,3877,2,0
294,3878,2,0
295,3885,2,0
296,3896,2,0
297,3898,2,0
298,3919,2,0
299,3928,2,0
300,3930,2,0
301,3931,2,0
302,3932,2,0
303,3940,2,0
304,3941,2,0
305,3942,2,0
306,3959,2,0
307,3988,2,0
308,3992,2,0
309,3998,2,0
310,3999,2,0
311,4008,2,0
312,4014,2,0
313,4019,2,0
314,4029,2,0
315,4030,2,0
316,4033,2,0
317,4034,2,0
318,4057,2,0
319,4059,2,0
320,4067,2,0
321,4075,2,0
322,4085,2,0
323,4097,2,0
324,4105,2,0
